id,year,text
1,2021,新型触手病毒已被我国“驱逐出境”
2,2021,我国一线城市房价暴跌20%
3,2021,00后表示：升职已躺平，作息不惯着老板
4,2021,《民法典》全面实行，更好保障人民权益
5,2021,纪念抗美援朝出国作战70周年
6,2021,我国绝对贫困人口实现全部脱贫
7,2021,东京奥运会举办，某运动员表示她睡的纸壳床已经塌了
8,2021,原油价格持续上涨，车友呼吁淘汰高耗油汽车
9,2021,煤炭价格持续上涨，电力公司开始限电供应
10,2021,明星嫖娼被抓，悔不当初表示应该付现金
11,2021,燕国由于瘟疫管控不佳，导致大面积传染
12,2021,黑湖市公园已整改完毕，全面禁止偷鹅
13,2021,《勒哦勒》手游：十年经典，再续传奇
14,2021,《埃皮克》平台：由于赠送游戏过多，已无力维护
15,2021,5G技术迎来低谷，连续8个月无新设备支持5G
16,2021,黑湖中学停止免费发放营养早餐
17,2021,超2成新婚夫妻表示：无生育需求，但父母需要
18,2021,毛乌素沙漠告急，即将成为毛乌素草原
19,2021,西部求索市发现大量恐龙化石，其中包含10多个新物种
20,2021,米果公司发布新手机，总结就是升级了cpu和涨价
21,2021,各大互联网公司向米果发起进攻式标价
22,2021,六枫山发掘大量古籍，与现存古籍差异很大
23,2021,科学家培育出新型绿藻，可光合生产碳单质
24,2021,“烟花”登陆我国南部沿海地区，专家：这次的台风很“平静”
25,2021,气象局表示今年冬天会非常寒冷
26,2022,房价持续下跌，52家房地产企业破产
27,2022,多位教育学家呼吁帝都采用全国卷高考
28,2022,燕国已实现新型触手病毒群体免疫
29,2022,湾岛申请加入联合国被拒
30,2022,米国“新帝”空间站发射成功
31,2022,西及共和国宣布成立
32,2022,国家出台“网络钱包”，以求取代私营支付软件
33,2022,改革开放“春风”吹向互联网
34,2022,猪肉价格再次反弹，暴涨暴跌后的平稳
35,2022,伞形科植物产量下降，价格暴涨
36,2022,家长要求游戏在登陆时必须人脸识别
37,2022,中国冥币风靡国外，200张价值9.88美金
38,2022,法定结婚年龄修改为男性20岁，女性18岁
39,2022,新5G技术可无损在线游玩3A游戏
40,2022,新电脑或无需硬盘
41,2022,水獭研究所发现人脑中的晶格记忆结构
42,2022,研究表明，早睡的后果是早起，并发症是早上8点钟就会非常清醒
43,2022,研究表明，晚睡的后果是早上精神披靡，严重的可导致起床困难
44,2022,我国已消灭绝对贫困
45,2022,我国自主研发的太上芯片问世
46,2022,中部地区开始推行联排式房屋
47,2022,红火蚁蔓延得到控制，南方地区粮食产量得到恢复
48,2022,李白《蜀道难》真迹得到证实，学者就真实性与历史性展开激烈讨论
49,2022,黑湖市启动流浪犬整治计划：不拴绳均为流浪犬
50,2022,网红沐浴露被曝含致癌致畸物质
51,2022,某明星被曝在国外有3个私生子
52,2022,网红大吉派偷逃税款被罚6.87亿
53,2022,我国父母进入“依法带娃”时代，无证将被罚
54,2022,漂亮国首脑实现三连任，民众表示他们会用半年时间来罢工游行，以表示反对
55,2022,官方痛哭：房价跌也不是，涨也不是，想回家种田
56,2022,专家反对《房产税草案》，表示应该征收“复数资产税”、“集团公司税”、“收购税”、“加班税”
57,2023,学者发现光速是受宇宙总质量影响的
58,2023,630起诉xbox630侵犯其的注册商标
59,2023,阿哈利姆的魔杖已被盗取
60,2023,杉木超市下架我国部分地区商品，疑夹带民族情绪，被群众抵制
61,2023,某中学实行“快乐教育班”，被家长举报。家长称他的孩子应该上精英班。
62,2023,年轻人被家长催生，无奈在饮水机中添加春药，导致母亲怀孕
63,2023,冬奥会如期举行，实行最严防疫措施
64,2023,智者科技发布家用版人体外骨骼，可以有效提高人体工作速度
65,2023,知名学者建议水源充足地区将水洒在地面，利用蒸腾作用给缺水地区送水，现已被抓捕。
66,2023,二向箔游戏发现光速在不断变快，理由是他们的游戏速度和现实速度总是无法同步，以至于程序员每天都要调整光速常量
67,2023,载人火箭“荧惑号”将在2030年出发探险火星，宇航员表示很想看看九龙拉棺的痕迹 
68,2023,黑湖市文氏家族收购文体建设开发公司，表示会加快本市体育场的建设
69,2023,腾达老板裴总劝玩家理性购买自家游戏，导致游戏爆火
70,2023,终点科技发布求购信息，希望与腾达游戏合并：我收购你行不行，不然你收购我
71,2023,2022年，警方通过一项全国性的特别活动，帮助了10932名失踪或被绑架的儿童返回家园
72,2023,男子停车多次失败徒手拽进车位，舞灵：我们已经开发了可以横着走的车，来买吧
73,2023,清北教授劝告留学学子：勿忘祖国
74,2023,土耳其货币通胀、调控走入歧路，外卖商家表示不影响土耳其烤肉拌饭的生产
75,2023,大学生培育出快生木，它的下一代闪生木有希望成为煤炭替代品
76,2023,毛乌素沙漠成为历史，将在明年改名毛乌素草原
77,2023,刑法108讲可以让心有魔鬼的人罪恶值变为0
78,2023,可是可乐适合任何人群饮用，且不会有副作用
79,2023,奥德赛联盟要求智者科技旗下产品统一使用类型T接口。据统计，智者科技旗下所有产品有20多种不同的接口。
80,2023,奥德赛联盟发布第一款取消USB接口的笔记本电脑，之前的USB接口全部替换为类型T接口。
81,2023,前终点科技副总裁：终点就像一只无头苍蝇，冲进垃圾里，吃了个饱出来了，冲进蛋糕里，吃了个饱也出来了。始终不知道自己主营的业务是什么。
82,2023,不太硬设计师建议黑暗模式背景色调整为#121212
83,2023,二向箔游戏发布新游《英雄训练大师》预告片，引起广泛关注
84,2024,某高档燕麦片发芽，官方表示这个燕麦是专利所有，私自种植会被罚款，且要求消费者尽快退还胚芽。
85,2024,玄玄经棋被曝幕后有真人下棋，消费者害怕自己拙劣的棋技被人知晓，发起抵制真人冒充机器对弈活动
86,2024,科学家发现很可能不存在2025年，理由是2024年结束后既不是春季也不是任何季节，引人担忧
