EndID,Level,StudentID,EndName,Description,信任,气质,思维,口才,体质,GESymbol,GoodAndEvil,语文,数学,英语,政治,历史,地理,物理,化学,生物,音乐,表演,舞蹈,手工,棋技,种植,摄影,烹饪,考古,编程,绘画,运动,FriendID,FriendshipValue
1,1,"1,2,3",工厂工人,name没有考上大学。毕业后没能进入理想的公司，由于家里也不富裕，所以TA成为了一名工厂工人，过着一般快乐的生活。,,,,,,>,-20,,,,,,,,,,,,,,,,,,,,,,null,0
2,1,all,犯罪分子,"你在新闻上不止一次看到了name，name做了不该做的事。回忆起自己曾经对TA的教育，只能说是悔不当初，没有将name纳入正轨，反而纵容邪恶的种子生根发芽。
一起忏悔吧！",,,,,,<,-20,,,,,,,,,,,,,,,,,,,,,,null,0
3,1,all,超市店员,name毕业后进入了一家叫做新科技中心的大型超市做店员，不错的口才和气质使TA很快进入了店员中的高新行列。虽然经常加班，但还算过着充实的生活。,30,15,0,10,,>,0,50,,,,,,,,,,50,,,,,,,,,,,null,0
4,2,all,产品经理,name没有进入大学深造。凭借着出色的口才，加入了终点科技，为其高科技产品做销售。两年后顺利晋升，成为了明星销售，活跃于各大销售平台。据说曾创下连续30日，每日1千万的销售神话。,30,30,30,80,,>,0,200,,200,,,,,,,,300,,,,,,,,,,,null,0
5,3,all,游戏开发者,"name凭借超高的编程技术，加入了二向箔游戏。虽然年纪轻轻，但是name的编程技术让10年经验的老程序员都赞叹不已，刚一加入就成为了007大军的扛旗大员。
两年后的一次巧合中，你看到了name。name头发稀疏，面容憔悴苍老，体态臃肿。不知道的还以为TA已经40岁了，不由的唏嘘程序员果然是个高压工作。",30,,60,,,>,0,,300,300,,,,,,,,,,,,,,,,600,,,null,0
6,2,all,新农民,name成为了一名农民，独自承包了1200亩耕地。name曾经以为成为农民每天都要种地，日晒雨淋。但事实并不是这样，在种植机、洒水机、收割机、施肥机、除草机等10多台机械的帮助下，TA揽下这1200亩非常轻松，甚至90%的时间都可以自由支配。去城市里吃喝玩乐已经成为了name的日常。唯一需要担心的是自己的钱包在秋收之前会不会被掏空。,10,,,,,>,0,,,,,,,,,300,,,,200,,500,,,,,,,null,0
7,3,all,数学专家,name数学非常优秀，提出了乒乓随机矩阵方程，引起了学术圈不小的震动，不久便获得了豆腐院青豆奖，名动一方。,30,,60,,,>,0,,950,,,,,,,,,,,,,,,,,,,,null,0
8,2,all,专业翻译,"name加入了智者科技，鉴于name的外语非常优秀，且已掌握21门外语，光荣的成为了一名翻译专家。
但name的口语考试成绩始终没呢超越一般人，导致TA最终没能升职到外语专家。
不过，看上去name其实也很喜欢现在的工作，毕竟只是翻译对社恐人来说实在太舒服了。",30,,10,,,>,0,,,950,,,,,,,,,,,,,,,,,,,null,0
9,3,all,外语专家,"name加入了智者科技，鉴于name的外语非常优秀，且已掌握21门外语，光荣的成为了一名翻译专家。
name凭借良好的口才，不久便顺利升职，成为了外语专家，经常为公司与外国企业谈判。被誉为智者科技的外交神话。",30,,20,80,,>,0,300,,950,,,,,,,,,,,,,,,,,,,null,0
10,2,all,官员,"name精通宏观政治学与微观政治学，顺利成为了一名合格的公务员。
几年的官场沉沦，让name深刻认识到了权利多大、责任就有多大。在一次反腐清扫后，TA顺利的当上了干部，任职至今。",20,,20,10,,>,10,300,,,500,,,,,,,,,,,,,,,,,,null,0
11,1,"1,2,3",小区保安,"name记忆力不错，而且为人正直可靠，光荣的成为一名小区保安。虽然工资不高，但乐的清闲。
在一次工作中徒手接住了从高楼坠下的小猫咪，被小区内的爱猫人士极度称赞，获得《爱猫人士》小锦旗。",,5,,10,,>,20,,,,,,,,,,,,,,,,,,,,,80,null,0
