PlotId,Year,Semester,Week,WhatDay,CourseID,NoSaveID,SaveID,MusicName,SceneName,SoundName,RoleID,FriendshipID,FriendshipValue,心情,信任,气质,思维,口才,体质,善恶,语文,数学,英语,政治,历史,地理,物理,化学,生物,音乐,表演,舞蹈,手工,棋技,种植,摄影,烹饪,考古,编程,绘画,运动
0000,0,0,1,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,0,0,8,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,0,1,7,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,1,0,1,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,1,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,1001,,,class,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
1002,,,,,,1002,1001,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,0,1,1,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,0,1,4,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003H,,,,,,1003H,,,class,,1,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
1100,1,0,2,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,0,4,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,1,0,6,0,,,,,class,,1,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,0,0,2,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,0,0,2,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011a,0,0,3,6,,,2015,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011b,0,0,3,6,,,2022,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,0,0,5,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,0,0,6,0,,,,,class,,2,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,
2050,0,1,1,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050x,0,1,2,0,,,20st52c,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,0,1,3,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,0,1,4,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,0,1,5,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,0,1,7,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,1,0,2,0,,,,,class,,2,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,
2102,1,0,4,5,,,,,放学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,1,0,5,4,,,,,shengri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103A,1,0,5,4,,,,,maiba,,2,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,
2103Z,1,0,5,4,,,,,shengri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,1,0,7,5,,,,,class,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,
2111,1,1,2,5,,,,,class,,2,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,1,1,6,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,0,0,4,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,0,0,5,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,0,0,6,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,0,0,6,6,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,0,1,3,2,,,,,basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005H,0,1,3,2,,3005H,,,basketball,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
3005H2,0,1,3,2,,3005H2,,,basketball,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
3006,0,1,4,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006H,0,1,5,5,,,,,class,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
3007,0,1,7,0,,,,,超市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,1,0,3,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,1,0,5,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,1,1,2,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,1,1,5,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,0,0,4,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,0,0,4,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,0,0,5,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,0,0,7,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4006,0,1,1,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,0,1,2,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,0,1,6,5,,,,,bookstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,1,0,3,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4101,1,0,5,5,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,1,1,4,0,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1001,,,,,,N1001,,,class,,1,,,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1002,,,,,,N1002,,,class,,1,,,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1003,,,,,,N1003,,,class,,1,,,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1004,,,,,,N1004,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1005,,,,,,N1005,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1006,,,,,,N1006,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1007,,,,,,N1007,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1008,,,,,,N1008,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
N1009,,,,,,N1009,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2001,,,,,,N2001,,,class,,2,,,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2002,,,,,,N2002,,,class,,2,,,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2003,,,,,,N2003,,,class,,2,,,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2004,,,,,,N2004,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2005,,,,,,N2005,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2006,,,,,,N2006,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2007,,,,,,N2007,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2008,,,,,,N2008,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
N2009,,,,,,N2009,,,class,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3001,,,,,,N3001,,,class,,3,,,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3002,,,,,,N3002,,,class,,3,,,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3003,,,,,,N3003,,,class,,3,,,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3004,,,,,,N3004,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3005,,,,,,N3005,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3006,,,,,,N3006,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3007,,,,,,N3007,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3008,,,,,,N3008,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
N3009,,,,,,N3009,,,class,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4001,,,,,,N4001,,,class,,4,,,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4002,,,,,,N4002,,,class,,4,,,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4003,,,,,,N4003,,,class,,4,,,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4004,,,,,,N4004,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4005,,,,,,N4005,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4006,,,,,,N4006,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4007,,,,,,N4007,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4008,,,,,,N4008,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
N4009,,,,,,N4009,,,class,,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1001,,,,,,I1001,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
I1002,,,,,,I1002,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
I1003,,,,,,I1003,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
I1004,,,,,,I1004,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
I1005,,,,,,I1005,,,class,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
