Year,semester,Type,Total,Content
1,0,All,0,堕落
1,0,All,240,志不在此
1,0,All,300,偏科严重
1,0,All,350,非常勉强
1,0,All,400,稳定上升
1,0,All,450,非常优秀
1,0,Teacher,0,执教10年有余，该学生是第一个任何科目都非常不擅长的孩子。希望家长能给孩子树立正确的学习观念，让孩子在课堂上那怕听一点点也好。
1,0,Teacher,240,你性格活泼开朗，总是带着甜甜的笑容，但你偶尔会犯一些小错误。有时上课不够留心，还有些小动作，你能想办法控制自己吗？希望能从根本上认识到自己学习上的不足，在课堂上能认真听讲，开动脑筋，努力提高学习成绩。
1,0,Teacher,300,记得和你说过，你是个太聪明的孩子，你反应敏捷，活泼灵动。但是做学问是需要静下心来老老实实去钻研的，容不得卖弄小聪明和半点顽皮话。要知道，学如逆水行舟，不进则退；心似平原野马，易放难收！望你下学期重新抖擞精神早日进入状态，不辜负关爱你的人对你的殷殷期盼。
1,0,Teacher,350,你很有能力，也很潜力，但欠缺的却是耐力和毅力。君子厚积而薄发，希望你能振作精神，跟上进度，迎头赶上，期待你获得更大的进步！
1,0,Teacher,400,最有希望得成功者，并不是才干出众的人，而是那些最善于利用时机去努力开创的人。你是很有才华的孩子，老师希望你能把握好机会，求得上进。
1,0,Teacher,450,该生遵纪守法，积极参加社会实践和文体活动。集体观念强，劳动积极肯干。学习目的明确，态度认真，肯钻研，勤思考，学风踏实，时间观念强，能认真地按时、按量、保证质量完成各项学习任务，成绩优异。能吃苦，帮助同学，尊敬师长。有理想抱负，各科发展全面，具有较好的综合素质。
1,0,Self,0,（该学生选择不填写自评）
1,0,Self,240,这周喜雪出了一款限定奶茶，我想喝@家人们
1,0,Self,300,考的很不错了，平时测验成绩都不好，这次居然超过了很多同学
1,0,Self,350,我已经足够努力了，但是考的还是不好，假期我要抄5次错题
1,0,Self,400,学习不是唯一选择，假期想去旅游了
1,0,Self,450,哎，考砸了。年级第一居然比我高了整整1分，没脸见人了。555...
1,1,All,0,堕落
1,1,All,260,志不在此
